cuda
Device: cuda
step: 0, loss: 0.6841406226158142
step: 10, loss: 0.36954376101493835
step: 20, loss: 0.23669815063476562
step: 30, loss: 0.08729513734579086
step: 40, loss: 0.10635852068662643
step: 50, loss: 0.24899469316005707
step: 60, loss: 0.09579966217279434
step: 70, loss: 0.03636302426457405
step: 80, loss: 0.02610080875456333
step: 90, loss: 0.1125534400343895
step: 100, loss: 0.04510655626654625
step: 110, loss: 0.08174140006303787
step: 120, loss: 0.08105571568012238
step: 130, loss: 0.012226799502968788
step: 140, loss: 0.006279372610151768
